day,tries
1,5
2,4
3,5
4,5
5,4
6,4
7,4
8,4
9,5
10,5
11,5
12,5
13,4
14,5
15,4
16,5
17,4
18,4
19,5
20,3
21,6
22,5
23,3
24,4
25,4
26,5
27,3
28,4
29,3
30,4
31,5
32,4
33,4
34,6
35,4
36,3
37,3
38,6
39,5
40,5
41,4
42,4
43,4
44,3
45,4
46,4
47,4
48,5
49,4
50,3
51,4
52,6
53,4
54,5
55,4
56,5
57,4
58,4
59,4
60,5
61,4
62,4
63,4
64,4
65,3
66,3
67,5
68,4
69,4
70,4
71,4
72,5
73,5
74,5
75,4
76,5
77,4
78,2
79,4
80,4
81,3
82,4
83,4
84,3
85,4
86,4
87,5
88,4
89,4
90,4
91,4
92,3
93,3
94,4
95,4
96,5
97,4
98,4
99,3
100,4
